ScientistName#preparation#date#components#login#password
Непогодина Людмила Петровна#Витамин С#0900-02-24#Chemical_80 Chemical_34 Chemical_87#Непогодина_ЛП#6jwHtuy9Qz
Нецкина Елизавета Василевна#Вальтрекс#0901-02-23#Chemical_27 Chemical_12 Chemical_63#Нецкина_ЕВ#uaarGBfIBY
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0902-11-21#Chemical_15 Chemical_82 Chemical_21#Неветруева_ЕЭ#bhmxWxPlXe
Махначев Павел Максимович#Урсофальк#0903-09-18#Chemical_33 Chemical_5 Chemical_47#Махначев_ПМ#BceKA6VR8N
Михеюшкин Яков Игоревич#Тикалиптин#0905-03-24#Chemical_72 Chemical_18 Chemical_7#Михеюшкин_ЯИ#hx4SwGK0qB
Бригина Надежда Федоровна#Ретардин#0908-05-02#Chemical_92 Chemical_37 Chemical_19#Бригина_НФ#K6akwmT9MS
Муренкаева Елизавета Аркадьевна#Омега-3 кислоты#0912-07-22#Chemical_81 Chemical_59 Chemical_73#Муренкаева_ЕА#2uu4AiYUl6
Вакунов Александр Викторович#Метопролол#0914-04-03#Chemical_58 Chemical_2 Chemical_87#Вакунов_АВ#maPT6Hus9U
Оруджалиев Герасим Данилович#Рамиприл#0916-05-19#Chemical_33 Chemical_36 Chemical_98#Оруджалиев_ГД#gHas1QnnCU
Рабовский Дмитрий Яковлевич#Витамин С#0924-02-08#Chemical_35 Chemical_80 Chemical_55#Рабовский_ДЯ#hflNSZZQYr
Екимовский Владислав Фёдорович#Венолайфт#0926-06-22#Chemical_59 Chemical_56 Chemical_77#Екимовский_ВФ#kyVMZHhcHM
Аляудинова Яна Аркадьевна#Дуодарт#0926-11-12#Chemical_81 Chemical_28 Chemical_46#Аляудинова_ЯА#UOhlWvSb16
Веснянкина Марина Эдуардовна#Вальтрекс#0928-09-27#Chemical_38 Chemical_79 Chemical_54#Веснянкина_МЭ#wPjcJ41UU7
Шкваркин Федор Юрьевич#Тианептин#0929-07-27#Chemical_67 Chemical_56 Chemical_43#Шкваркин_ФЮ#eq9WoQbj8s
Агафеева Тамара Олеговна#Клопидогрел#0932-08-16#Chemical_17 Chemical_72 Chemical_22#Агафеева_ТО#470SVGcsuI
Атарщиков Артём Викторович#Валидол#0935-09-01#Chemical_48 Chemical_25 Chemical_54#Атарщиков_АВ#kmkiCmfjXW
Абримов Павел Олегович#Амоксициллин#0938-12-20#Chemical_88 Chemical_13 Chemical_39#Абримов_ПО#wMQBbkc8Ne
Танкуйлин Аркадий Кириллович#Железа препараты#0939-06-15#Chemical_58 Chemical_95 Chemical_70#Танкуйлин_АК#AQ9fp3p7gP
Столбова София Василевна#Атенолол#0940-07-17#Chemical_47 Chemical_34 Chemical_45#Столбова_СВ#aBCgfuVNAl
Хусаинов Антон Алексеевич#Росувастатин#0949-06-08#Chemical_89 Chemical_77 Chemical_35#Хусаинов_АА#XnpxGyFug6
Рубейкин Вячеслав Петрович#Метформин#0949-11-22#Chemical_15 Chemical_58 Chemical_1#Рубейкин_ВП#tYGNp0ihhV
Наруцкая Катерина Андреевна#Венолайфт#0951-01-04#Chemical_84 Chemical_47 Chemical_3#Наруцкая_КА#SBUNZfEvH5
Бызин Александр Олегович#Тикалиптин#0953-10-01#Chemical_93 Chemical_26 Chemical_28#Бызин_АО#6DAV2K9f5Q
Самарков Вадим Андреевич#Железа препараты#0956-08-14#Chemical_42 Chemical_30 Chemical_66#Самарков_ВА#mCBDKgFEJS
Пудонин Виталий Данилович#Енап#0958-06-13#Chemical_4 Chemical_4 Chemical_92#Пудонин_ВД#2WUgZDbjNo
Крыницкий Владимир Борисович#Омепразол#0959-10-21#Chemical_4 Chemical_20 Chemical_41#Крыницкий_ВБ#WLh68ioHqh
Ахмадуллин Александр Евгеньевич#Амитриптилин#0960-12-26#Chemical_90 Chemical_77 Chemical_84#Ахмадуллин_АЕ#VP14f6cc7P
Пудинова Мария Андреевна#Сетирозин#0961-06-17#Chemical_26 Chemical_95 Chemical_60#Пудинова_МА#W376T0kV7r
Пепинова Ева Ивановна#Ацетилсалициловая кислота#0963-02-26#Chemical_5 Chemical_62 Chemical_58#Пепинова_ЕИ#uNzL7UIxJu
Пониматкин Артём Яковлевич#Бромгексин#0963-10-18#Chemical_11 Chemical_1 Chemical_69#Пониматкин_АЯ#fcb3XK98nN
Горбецкий Альберт Павлович#Ёжик#0968-10-24#Chemical_79 Chemical_33 Chemical_90#Горбецкий_АП#M49O3gxkzX
Манетов Павел Павлович#Бисакодил#0969-07-05#Chemical_11 Chemical_13 Chemical_51#Манетов_ПП#Seq4VGoMKh
Шабунов Юрий Алексиевич#Парацетамол#0970-10-22#Chemical_41 Chemical_31 Chemical_39#Шабунов_ЮА#PyD5GXhpne
Постатская Полина Алексеевна#Бензоилпероксид#0972-06-28#Chemical_12 Chemical_76 Chemical_81#Постатская_ПА#f3InALDZmV
Беларова Вероника Михайловна#Бензоилпероксид#0979-04-08#Chemical_86 Chemical_62 Chemical_41#Беларова_ВМ#0NM1OEi02S
Федурин Владимир Алексеевич#Амитриптилин#0982-10-20#Chemical_5 Chemical_75 Chemical_78#Федурин_ВА#g9cjxPfdzp
Голубкова Ирина Игоревна#Аллопуринол#0983-02-03#Chemical_17 Chemical_4 Chemical_91#Голубкова_ИИ#oJEGeGwcgv
Хвощинская Катерина Федоровна#Золаир#0984-06-19#Chemical_8 Chemical_80 Chemical_30#Хвощинская_КФ#baSMjfLqTH
Даданина Ксения Максимовна#Енап#0984-11-05#Chemical_4 Chemical_7 Chemical_89#Даданина_КМ#TMTAoyGP8c
